indexInDoc	token	posTag	
1448	??	NN	
1449	representation	NN	
1450	of	IN	
1451	visual	JJ	
1452	patterns	NNS	
1453	and	CC	
1454	behavioral	JJ	
1455	judgments	NNS	
1456	of	IN	
1457	perceptual	JJ	
1458	similarity	NN	
1459	The	DT	
1460	visual	JJ	
1461	stimuli	NNS	
1462	were	VBD	
1463	abstract	JJ	
1464	patterns	NNS	
1465	constructed	??	VBD
1466	from	IN	
1467	identical	JJ	
1468	perceptual	JJ	
1469	units	NNS	
1470	oriented	??	VBD
1471	Gabor	NNP	
1472	patches	NNS	
1473	so	??	IN
1474	that	IN	
1475	each	DT	
1476	pattern	NN	
1477	had	VBD	
1478	a	DT	
1479	unique	JJ	
1480	global	JJ	
1481	form	NN	
1482	or	CC	
1483	perceptual	JJ	
1484	Gestalt	??	NNP
1485	The	DT	
1486	visual	JJ	
1487	stimuli	NNS	
1488	were	VBD	
1489	decodable	JJ	
1490	from	IN	
1491	evoked	VBN	
1492	neural	JJ	
1493	activation	NN	
1494	patterns	NNS	
1495	measured	VBN	
1496	with	IN	
1497	magnetoencephalography	NN	
1498	MEG	??	NN
1499	however	RB	
1500	stimuli	NNS	
1501	differed	VBD	
1502	in	IN	
1503	the	DT	
1504	similarity	NN	
1505	of	IN	
1506	their	PRP$	
1507	neural	JJ	
1508	representation	NN	
1509	as	IN	
1510	estimated	VBN	
1511	by	IN	
1512	differences	NNS	
1513	in	IN	
1514	decodability	NN	
1515	Early	RB	
1516	after	IN	
1517	stimulus	NN	
1518	onset	NN	
1519	from	IN	
1520	50ms	??	NN
1521	a	DT	
1522	model	NN	
1523	based	VBN	
1524	on	IN	
1525	retinotopic	??	JJ
1526	organization	NN	
1527	predicted	VBD	
1528	the	DT	
1529	representational	JJ	
1530	similarity	NN	
1531	of	IN	
1532	the	DT	
1533	visual	JJ	
1534	stimuli	??	NNS
1535	Following	VBG	
1536	the	DT	
1537	peak	NN	
1538	correlation	NN	
1539	between	IN	
1540	the	DT	
1541	retinotopic	??	JJ
1542	model	NN	
1543	and	CC	
1544	neural	JJ	
1545	data	NNS	
1546	at	IN	
1547	80ms	??	NN
1548	the	DT	
1549	neural	JJ	
1550	representations	NNS	
1551	quickly	RB	
1552	evolved	VBD	
1553	so	??	IN
1554	that	IN	
1555	retinotopy	NN	
1556	no	RB	
1557	longer	??	RB
1558	provided	??	VBD
1559	a	DT	
1560	sufficient	JJ	
1561	account	NN	
1562	of	IN	
1563	the	DT	
1564	??	NN	
1565	representation	NN	
1566	of	IN	
1567	the	DT	
1568	stimuli	NNS	
1569	Overall	RB	
1570	the	DT	
1571	strongest	JJS	
1572	predictor	NN	
1573	of	IN	
1574	the	DT	
1575	??	NN	
1576	representation	NN	
1577	was	VBD	
1578	a	DT	
1579	model	NN	
1580	based	VBN	
1581	on	IN	
1582	human	JJ	
1583	judgments	NNS	
1584	of	IN	
1585	perceptual	JJ	
1586	similarity	NN	
1587	which	WDT	
1588	reached	VBD	
1589	the	DT	
1590	theoretical	JJ	
1591	limits	NNS	
1592	of	IN	
1593	the	DT	
1594	maximum	??	JJ
1595	correlation	NN	
1596	with	IN	
1597	the	DT	
1598	neural	JJ	
1599	data	NNS	
1600	defined	VBN	
1601	by	IN	
1602	the	DT	
1603	noise	??	JJ
1604	ceiling	NN	
1605	We	??	PRP
1606	compare	??	VBP
1607	in	IN	
1608	this	DT	
1609	paper	NN	
1610	several	JJ	
1611	feature	NN	
1612	selection	NN	
1613	methods	NNS	
1614	for	IN	
1615	the	DT	
1616	Naive	??	NNP
1617	Bayes	NNP	
1618	Classifier	NNP	
1619	NBC	NNP	
1620	when	WRB	
1621	the	DT	
1622	data	??	NN
1623	under	IN	
1624	study	NN	
1625	are	VBP	
1626	described	VBN	
1627	by	IN	
1628	a	DT	
1629	large	JJ	
1630	number	NN	
1631	of	IN	
1632	redundant	JJ	
1633	binary	JJ	
1634	indicators	NNS	
1635	Wrapper	??	NN
1636	approaches	??	NNS
1637	guided	VBN	
1638	by	IN	
1639	the	DT	
1640	NBC	NNP	
1641	estimation	NN	
1642	of	IN	
1643	the	DT	
1644	classification	NN	
1645	error	NN	
1646	probability	NN	
1647	outperform	??	VBP
1648	filter	NN	
1649	approaches	NNS	
1650	while	IN	
1651	retaining	VBG	
1652	a	DT	
1653	reasonable	JJ	
1654	computational	JJ	
1655	cost	NN	
1656	1	CD	
1657	Introduction	NN	
1658	We	PRP	
1659	consider	VBP	
1660	in	IN	
1661	this	DT	
1662	paper	NN	
1663	application	NN	
1664	contexts	NNS	
1665	in	IN	
1666	which	WDT	
1667	a	DT	
1668	large	JJ	
1669	body	NN	
1670	of	IN	
1671	expert	??	JJ
1672	knowledge	NN	
1673	is	VBZ	
1674	available	JJ	
1675	as	IN	
1676	a	DT	
1677	series	NN	
1678	of	IN	
1679	simple	JJ	
1680	and	CC	
1681	low	JJ	
1682	level	NN	
1683	parametric	JJ	
1684	scores	NNS	
1685	The	DT	
1686	goal	NN	
1687	is	VBZ	
1688	to	TO	
1689	build	VB	
1690	an	DT	
1691	interpretable	JJ	
1692	classifier	NN	
1693	from	IN	
1694	this	DT	
1695	knowledge	NN	
1696	and	CC	
1697	from	IN	
1698	a	DT	
1699	learning	NN	
1700	set	NN	
1701	Then	RB	
1702	the	DT	
1703	scores	NNS	
1704	are	VBP	
1705	assumed	VBN	
1706	to	TO	
1707	be	VB	
1708	simple	JJ	
1709	parametric	JJ	
1710	functions	NNS	
1711	from	IN	
1712	the	DT	
1713	data	NNS	
1714	space	NN	
1715	to	??	TO
1716	R	NN	
1717	with	IN	
1718	the	DT	
1719	interpretation	NN	
1720	that	??	IN
1721	a	DT	
1722	high	JJ	
1723	value	NN	
1724	of	IN	
1725	a	DT	
1726	score	NN	
1727	indicates	VBZ	
1728	that	IN	
1729	the	DT	
1730	datum	NN	
1731	submitted	??	VBD
1732	to	??	TO
1733	the	DT	
1734	score	NN	
1735	belongs	VBZ	
1736	probably	RB	
1737	to	??	TO
1738	the	DT	
1739	class	NN	
1740	that	??	WDT
1741	the	DT	
1742	score	NN	
1743	has	VBZ	
1744	been	VBN	
1745	designed	VBN	
1746	to	TO	
1747	detect	VB	
1748	consider	??	VBP
1749	a	DT	
1750	concrete	JJ	
1751	example	NN	
1752	from	IN	
1753	our	PRP$	
1754	main	JJ	
1755	application	NN	
1756	domain	NN	
1757	aircraft	NN	
1758	engine	NN	
1759	monitoring	NN	
1760	see	VB	
1761	7	??	CD
1762	for	IN	
1763	details	NNS	
1764	We	PRP	
1765	aim	VBP	
1766	here	RB	
1767	at	IN	
1768	classifying	VBG	
1769	some	DT	
1770	short	JJ	
1771	time	NN	
1772	series	NN	
1773	around	??	RB
1774	150	CD	
1775	time	NN	
1776	points	NNS	
1777	each	DT	
1778	series	NN	
1779	having	VBG	
1780	its	PRP$	
1781	own	JJ	
1782	specific	JJ	
1783	length	NN	
1784	into	IN	
1785	different	JJ	
1786	classes	NNS	
1787	normal	JJ	
1788	signal	NN	
1789	and	CC	
1790	different	JJ	
1791	types	NNS	
1792	of	IN	
1793	anomalies	NNS	
1794	corresponding	??	VBG
1795	to	??	TO
1796	some	DT	
1797	non	??	RB
1798	stationarity	NN	
1799	in	IN	
1800	the	DT	
1801	signal	NN	
1802	We	??	PRP
1803	propose	??	VBP
1804	a	DT	
1805	new	JJ	
1806	technique	NN	
1807	for	IN	
1808	processing	??	VBG
1809	registered	VBN	
1810	EM	??	NN
1811	image	NN	
1812	stacks	NNS	
1813	to	TO	
1814	remove	VB	
1815	discontinuities	NNS	
1816	while	IN	
1817	preserving	VBG	
1818	detail	NN	
1819	To	??	TO
1820	this	DT	
1821	end	NN	
1822	we	PRP	
1823	process	VBP	
1824	the	DT	
1825	image	NN	
1826	stack	??	NN
1827	by	IN	
1828	first	JJ	
1829	performing	VBG	
1830	anisotropic	??	JJ
1831	smoothing	??	VBG
1832	along	IN	
1833	the	DT	
1834	slice	NN	
1835	axis	NN	
1836	and	CC	
1837	then	RB	
1838	solving	VBG	
1839	a	DT	
1840	Poisson	NNP	
1841	equation	NN	
1842	within	IN	
1843	each	DT	
1844	slice	NN	
1845	to	TO	
1846	the	DT	
1847	detail	NN	
1848	The	DT	
1849	final	JJ	
1850	image	NN	
1851	stack	??	NN
1852	is	VBZ	
1853	continuous	JJ	
1854	across	IN	
1855	the	DT	
1856	slice	NN	
1857	axis	NN	
1858	and	CC	
1859	maintains	VBZ	
1860	sharp	JJ	
1861	details	NNS	
1862	within	IN	
1863	each	DT	
1864	slice	NN	
1865	Adapting	??	VBG
1866	existing	VBG	
1867	techniques	NNS	
1868	for	IN	
1869	solving	VBG	
1870	the	DT	
1871	linear	??	JJ
1872	system	NN	
1873	we	PRP	
1874	describe	VBP	
1875	a	DT	
1876	parallel	JJ	
1877	algorithm	NN	
1878	with	IN	
1879	time	NN	
1880	complexity	NN	
1881	that	WDT	
1882	is	VBZ	
1883	linear	??	RB
1884	in	IN	
1885	the	DT	
1886	size	NN	
1887	of	IN	
1888	the	DT	
1889	data	NNS	
1890	and	CC	
1891	space	NN	
1892	complexity	NN	
1893	that	WDT	
1894	is	VBZ	
1895	allowing	VBG	
1896	us	PRP	
1897	to	TO	
1898	process	VB	
1899	datasets	NNS	
1900	as	??	IN
1901	large	JJ	
1902	as	IN	
1903	five	CD	
1904	teravoxels	NNS	
1905	with	IN	
1906	a	DT	
1907	600	CD	
1908	MB	??	NN
1909	memory	NN	
1910	footprint	NN	
1911	Index	??	NN
1912	Domain	??	NN
1913	Image	??	VBG
1914	Processing	??	JJ
1915	Image	??	NN
1916	Fusion	??	NN
1917	I	??	NN
1918	INTRODUCTION	??	
1919	Recent	JJ	
1920	innovation	NN	
1921	and	CC	
1922	automation	NN	
1923	of	IN	
1924	electron	NN	
1925	microscopy	NN	
1926	sectioning	NN	
1927	has	VBZ	
1928	made	VBN	
1929	it	PRP	
1930	possible	JJ	
1931	to	TO	
1932	obtain	VB	
1933	image	NN	
1934	stacks	NNS	
1935	capturing	VBG	
1936	the	DT	
1937	relationships	NNS	
1938	between	IN	
1939	cellular	JJ	
1940	structures	NNS	
1941	1	??	CD
1942	This	DT	
1943	in	IN	
1944	turn	NN	
1945	has	VBZ	
1946	motivated	VBN	
1947	research	NN	
1948	in	IN	
1949	areas	NNS	
1950	such	JJ	
1951	as	IN	
1952	connectomics	NNS	
1953	2	??	CD
1954	3	??	CD
1955	4	??	CD
1956	5	??	CD
1957	which	WDT	
1958	aims	VBZ	
1959	to	TO	
1960	gain	VB	
1961	insight	NN	
1962	into	IN	
1963	neural	JJ	
1964	function	NN	
1965	through	IN	
1966	the	DT	
1967	study	NN	
1968	of	IN	
1969	the	DT	
1970	connectivity	NN	
1971	network	NN	
1972	While	IN	
1973	the	DT	
1974	technological	JJ	
1975	advances	NNS	
1976	in	IN	
1977	acquisition	NN	
1978	and	CC	
1979	registration	NN	
1980	have	VBP	
1981	made	VBN	
1982	it	PRP	
1983	possible	JJ	
1984	to	TO	
1985	acquire	VB	
1986	unprecedentedly	RB	
1987	large	JJ	
1988	volumes	NNS	
1989	the	DT	
1990	acquisition	NN	
1991	process	NN	
1992	itself	PRP	
1993	introduces	VBZ	
1994	undesirable	JJ	
1995	artifacts	NNS	
1996	in	IN	
1997	the	DT	
1998	data	NNS	
1999	complicating	VBG	
2000	tasks	NNS	
2001	of	IN	
2002	anatomy	NN	
2003	tracking	??	VBG
2004	One	??	CD
2005	morning	NN	
2006	when	WRB	
2007	Gregor	NNP	
2008	Samsa	NNP	
2009	woke	VBD	
2010	from	IN	
2011	troubled	JJ	
2012	dreams	NNS	
2013	he	PRP	
2014	found	VBD	
2015	himself	PRP	
2016	transformed	VBN	
2017	in	IN	
2018	his	PRP$	
2019	bed	NN	
2020	into	IN	
2021	a	DT	
2022	horrible	JJ	
2023	vermin	NN	
2024	He	PRP	
2025	lay	VBD	
2026	on	IN	
2027	his	PRP$	
2028	back	??	NN
2029	and	CC	
2030	if	IN	
2031	he	PRP	
2032	lifted	VBD	
2033	his	PRP$	
2034	head	NN	
2035	a	DT	
2036	little	JJ	
2037	he	PRP	
2038	could	MD	
2039	see	VB	
2040	his	PRP$	
2041	brown	JJ	
2042	belly	NN	
2043	slightly	RB	
2044	domed	JJ	
2045	and	CC	
2046	divided	VBN	
2047	by	IN	
2048	arches	NNS	
2049	into	IN	
2050	stiff	JJ	
2051	sections	NNS	
2052	The	DT	
2053	bedding	NN	
2054	was	VBD	
2055	hardly	RB	
2056	able	JJ	
2057	to	TO	
2058	cover	VB	
2059	it	PRP	
2060	and	CC	
2061	seemed	VBD	
2062	ready	JJ	
2063	to	TO	
2064	slide	VB	
2065	off	??	IN
2066	any	DT	
2067	moment	NN	
2068	His	PRP$	
2069	many	JJ	
2070	legs	NNS	
2071	pitifully	RB	
2072	thin	JJ	
2073	compared	VBN	
2074	with	IN	
2075	the	DT	
2076	size	NN	
2077	of	IN	
2078	the	DT	
2079	rest	NN	
2080	of	IN	
2081	him	PRP	
2082	waved	VBD	
2083	about	??	RB
2084	helplessly	RB	
2085	as	IN	
2086	he	PRP	
2087	looked	VBD	
2088	What	WP	
2089	s	VBZ	
2090	happened	VBN	
2091	to	??	TO
2092	me	PRP	
2093	he	PRP	
2094	thought	VBD	
2095	It	PRP	
2096	was	VBD	
2097	nt	RB	
2098	a	DT	
2099	dream	NN	
2100	His	PRP$	
2101	room	NN	
2102	a	DT	
2103	proper	JJ	
2104	human	??	JJ
2105	room	NN	
2106	although	IN	
2107	a	DT	
2108	little	??	JJ
2109	too	RB	
2110	small	JJ	
2111	lay	??	VBP
2112	peacefully	RB	
2113	between	IN	
2114	its	PRP$	
2115	four	CD	
2116	familiar	JJ	
2117	walls	NNS	
2118	A	DT	
2119	collection	NN	
2120	of	IN	
2121	textile	??	JJ
2122	samples	NNS	
2123	lay	VBD	
2124	spread	VBN	
2125	out	??	RB
2126	on	IN	
2127	the	DT	
2128	table	NN	
2129	Samsa	NNP	
2130	was	VBD	
2131	a	DT	
2132	travelling	??	VBG
2133	salesman	NN	
2134	and	CC	
2135	above	IN	
2136	it	PRP	
2137	there	??	EX
2138	hung	VBD	
2139	a	DT	
2140	picture	NN	
2141	that	??	WDT
2142	he	PRP	
2143	had	VBD	
2144	recently	RB	
2145	cut	VBN	
2146	out	??	RB
2147	of	IN	
2148	an	DT	
2149	illustrated	??	VBN
2150	magazine	NN	
2151	and	CC	
2152	housed	VBN	
2153	in	IN	
2154	a	DT	
2155	nice	JJ	
2156	gilded	JJ	
2157	frame	NN	
2158	It	PRP	
2159	showed	VBD	
2160	a	DT	
2161	lady	NN	
2162	fitted	??	VBN
2163	out	RP	
2164	with	IN	
2165	a	DT	
2166	fur	NN	
2167	hat	NN	
2168	and	CC	
2169	fur	NN	
2170	boa	??	NN
2171	who	WP	
2172	sat	VBD	
2173	upright	??	RB
2174	raising	VBG	
2175	a	DT	
2176	heavy	JJ	
2177	fur	NN	
2178	muff	NN	
2179	that	WDT	
2180	covered	VBD	
2181	the	DT	
2182	whole	NN	
2183	of	IN	
2184	her	PRP$	
2185	lower	??	JJ
2186	arm	NN	
2187	towards	IN	
2188	the	DT	
2189	viewer	NN	
2190	Gregor	NNP	
2191	then	RB	
2192	turned	VBD	
2193	to	TO	
2194	look	VB	
2195	out	??	IN
2196	the	DT	
2197	window	NN	
2198	at	IN	
2199	the	DT	
2200	dull	JJ	
2201	weather	NN	
2202	It	PRP	
2203	was	VBD	
2204	the	DT	
2205	year	NN	
2206	of	IN	
2207	Our	PRP$	
2208	Lord	NNP	
2209	one	CD	
2210	thousand	CD	
2211	seven	CD	
2212	hundred	CD	
2213	and	CC	
2214	Spiritual	JJ	
2215	revelations	NNS	
2216	were	VBD	
2217	conceded	VBN	
2218	to	??	TO
2219	England	NNP	
2220	at	IN	
2221	that	??	IN
2222	favoured	JJ	
2223	period	NN	
2224	as	??	IN
2225	at	IN	
2226	this	DT	
2227	Mrs	NNP	
2228	Southcott	NNP	
2229	had	VBD	
2230	recently	RB	
2231	attained	VBN	
2232	her	PRP$	
2233	blessed	??	JJ
2234	birthday	NN	
2235	of	IN	
2236	whom	WP	
2237	a	DT	
2238	prophetic	JJ	
2239	private	??	NN
2240	in	IN	
2241	the	DT	
2242	Life	??	NNPS
2243	Guards	??	NNPS
2244	had	VBD	
2245	heralded	VBN	
2246	the	DT	
2247	sublime	JJ	
2248	appearance	NN	
2249	by	IN	
2250	announcing	VBG	
2251	that	??	IN
2252	arrangements	NNS	
2253	were	VBD	
2254	made	VBN	
2255	for	IN	
2256	the	DT	
2257	swallowing	VBG	
2258	up	??	RB
2259	of	IN	
2260	London	NNP	
2261	and	CC	
2262	Westminster	NNP	
2263	Even	RB	
2264	the	DT	
2265	ghost	NN	
2266	had	VBD	
2267	been	VBN	
2268	laid	VBN	
2269	only	RB	
2270	a	DT	
2271	round	JJ	
2272	dozen	NN	
2273	of	IN	
2274	years	NNS	
2275	after	IN	
2276	rapping	VBG	
2277	out	RP	
2278	its	PRP$	
2279	messages	NNS	
2280	as	IN	
2281	the	DT	
2282	spirits	NNS	
2283	of	IN	
2284	this	DT	
2285	very	??	JJ
2286	year	NN	
2287	last	JJ	
2288	past	NN	
2289	supernaturally	RB	
2290	deficient	??	JJ
2291	in	IN	
2292	originality	NN	
2293	rapped	??	VBD
2294	out	??	IN
2295	theirs	PRP	
2296	Mere	??	DT
2297	messages	NNS	
2298	in	IN	
2299	the	DT	
2300	earthly	JJ	
2301	order	NN	
2302	of	IN	
2303	events	NNS	
2304	had	VBD	
2305	lately	RB	
2306	come	??	VBZ
2307	to	??	TO
2308	the	DT	
2309	English	??	NNP
2310	Crown	??	NNP
2311	and	CC	
2312	People	NNS	
2313	from	IN	
2314	a	DT	
2315	congress	NN	
2316	of	IN	
2317	British	JJ	
2318	subjects	NNS	
2319	in	IN	
2320	America	NNP	
2321	which	WDT	
2322	strange	JJ	
2323	to	TO	
2324	relate	VB	
2325	have	VBP	
2326	proved	VBN	
2327	more	RBR	
2328	important	JJ	
2329	to	??	TO
2330	the	DT	
2331	human	JJ	
2332	race	NN	
2333	than	IN	
2334	any	DT	
2335	communications	NNS	
2336	yet	RB	
2337	received	VBN	
2338	through	IN	
2339	any	DT	
2340	of	IN	
2341	the	DT	
2342	chickens	NNS	
2343	of	IN	
2344	the	DT	
2345	brood	NN	
2346	France	NNP	
2347	less	JJR	
2348	favoured	??	VBN
2349	on	IN	
2350	the	DT	
2351	whole	??	NN
2352	as	IN	
2353	to	??	TO
2354	matters	NNS	
2355	spiritual	JJ	
2356	than	IN	
2357	her	PRP$	
2358	sister	NN	
2359	of	IN	
2360	the	DT	
2361	shield	NN	
2362	and	CC	
2363	trident	NN	
2364	rolled	VBD	
2365	with	IN	
2366	exceeding	VBG	
2367	smoothness	??	RB
2368	down	??	IN
2369	hill	NN	
2370	making	VBG	
2371	paper	NN	
2372	money	NN	
2373	and	CC	
2374	spending	??	VBG
2375	it	PRP	
2376	Under	IN	
2377	the	DT	
2378	guidance	NN	
2379	of	IN	
2380	her	PRP$	
2381	Christian	??	NNP
2382	pastors	NNS	
2383	she	PRP	
2384	entertained	VBD	
2385	herself	PRP	
2386	besides	IN	
2387	with	IN	
2388	such	JJ	
2389	humane	JJ	
2390	achievements	NNS	
2391	as	IN	
2392	sentencing	??	VBG
2393	a	DT	
2394	youth	NN	
2395	to	TO	
2396	have	VB	
2397	his	PRP$	
2398	hands	NNS	
2399	cut	??	VBZ
2400	off	RP	
2401	his	PRP$	
2402	tongue	NN	
2403	torn	VBN	
2404	out	??	IN
2405	with	IN	
2406	pincers	NNS	
2407	and	CC	
2408	his	PRP$	
2409	body	NN	
2410	burned	??	VBD
2411	alive	JJ	
2412	because	IN	
2413	he	PRP	
2414	had	VBD	
2415	not	RB	
2416	kneeled	VBN	
2417	down	RP	
2418	in	IN	
2419	the	DT	
2420	rain	NN	
2421	to	TO	
2422	do	VB	
2423	honour	??	NN
2424	to	??	TO
2425	a	DT	
2426	dirty	JJ	
2427	procession	NN	
2428	of	IN	
2429	monks	NNS	
2430	which	WDT	
2431	passed	VBD	
2432	within	IN	
2433	his	PRP$	
2434	view	NN	
2435	at	IN	
2436	a	DT	
2437	distance	NN	
2438	of	IN	
2439	some	DT	
2440	fifty	CD	
2441	or	CC	
2442	sixty	CD	
2443	yards	NNS	
2444	Well	??	UH
2445	then	RB	
2446	the	DT	
2447	old	JJ	
2448	thing/commenced	??	NN/VBD
2449	again	RB	
2450	The	DT	
2451	widow	NN	
2452	rung	VBD	
2453	a	DT	
2454	bell	NN	
2455	for	IN	
2456	supper	NN	
2457	and	CC	
2458	you	PRP	
2459	had	VBD	
2460	to	TO	VBP/TO
2461	come/to	??	
2462	time	NN	
2463	When	WRB	
2464	you	PRP	
2465	got	VBD	
2466	to	??	TO
2467	the	DT	
2468	table	NN	
2469	you	PRP	
2470	could	MD	
2471	nt	RB	
2472	go	VB	
2473	right	RB	
2474	to	??	TO
2475	eating	NN	
2476	but/you	??	CC/PRP
2477	had	VBD	
2478	to	TO	
2479	wait	VB	
2480	for	IN	
2481	the	DT	
2482	widow	NN	
2483	to	TO	
2484	tuck	VB	
2485	down	??	IN
2486	her	PRP$	
2487	head	NN	
2488	and	CC	
2489	grumble	VB	
2490	a	DT	
2491	little/over	??	JJ/IN
2492	the	DT	
2493	victuals	NNS	
2494	though	??	UH
2495	there	EX	
2496	really	RB	
2497	anything	NN	
2498	the	DT	
2499	matter	NN	
2500	is	VBZ	
2501	nothing	NN	
2502	only	RB	
2503	everything	NN	
2504	was	VBD	
2505	cooked	VBN	
2506	by	IN	
2507	itself	PRP	
2508	In	IN	
2509	abarrel	NN	
2510	of	IN	
2511	odds	NNS	
2512	and	CC	
2513	ends	VBZ	
2514	it	PRP	
2515	is	VBZ	
2516	different	JJ	
2517	things	NNS	
2518	get	??	VBD
2519	mixed	VBN	
2520	up	RP	
2521	and	CC	
2522	the/juice	??	DT/NN
2523	kind	??	JJR
2524	of	??	JJR
2525	swaps	NNS	
2526	around	??	IN
2527	and	CC	
2528	the	DT	
2529	things	NNS	
2530	go	??	VBD
2531	better	??	RBR
2532	After	IN	
2533	supper	NN	
2534	she	PRP	
2535	got	VBD	
2536	out	??	IN
2537	her	PRP$	
2538	book	NN	
2539	and	CC	
2540	learned	VBD	
2541	me	PRP	
2542	about	IN	
2543	Moses	??	NNP
2544	and	CC	
2545	theBulrushers	NNS	
2546	and	CC	
2547	I	PRP	
2548	was	VBD	
2549	in	IN	
2550	a	DT	
2551	sweat	NN	
2552	to	TO	
2553	find	VB	
2554	out	RP	
2555	all	DT	
2556	about	IN	
2557	him	PRP	
2558	but	CC	
2559	by	IN	
2560	and/by	??	CC/IN
2561	she	PRP	
2562	let	??	VBZ
2563	it	PRP	
2564	out	RP	
2565	that	IN	
2566	Moses	NNP	
2567	had	VBD	
2568	been	VBN	
2569	dead	JJ	
2570	a	DT	
2571	considerable	JJ	
2572	long	JJ	
2573	time	NN	
2574	so/then	??	IN/RB
2575	I	PRP	
2576	did	VBD	
2577	nt	RB	
2578	care	VB	
2579	no	DT	
2580	more	JJR	
2581	about	IN	
2582	him	PRP	
2583	because	IN	
2584	I	PRP	
2585	do	VBP	
2586	nt	RB	
2587	take	VB	
2588	no	DT	
2589	stock	NN	
2590	in/dead	??	IN/JJ
2591	soon	RB	
2592	I	PRP	
2593	wanted	VBD	
2594	to	TO	
2595	smoke	VB	
2596	and	CC	
2597	asked	VBD	
2598	the	DT	
2599	widow	NN	
2600	to	TO	
2601	let	VB	
2602	me	PRP	
2603	But	CC	
2604	She	PRP	
2605	said	VBD	
2606	it	PRP	
2607	was	VBD	
2608	a	DT	
2609	mean	??	JJ
2610	practice	NN	
2611	and	CC	
2612	was	VBD	
2613	nt	RB	
2614	clean	JJ	
2615	and	CC	
2616	I	PRP	
2617	must/try	??	VBP/VBP
2618	to	TO	
2619	not	RB	
2620	do	VB	
2621	it	PRP	
2622	any	DT	
2623	more	RBR	
2624	That	DT	
2625	is	VBZ	
2626	just	RB	
2627	the	DT	
2628	way	NN	
2629	with	IN	
2630	some	DT	
2631	people	NNS	
2632	They/get	??	PRP/VBZ
2633	down	RP	
2634	on	IN	
2635	a	DT	
2636	thing	NN	
2637	when	WRB	
2638	they	PRP	
2639	do	VBP	
2640	nt	RB	
2641	know	VB	
2642	nothing	NN	
2643	about	IN	
2644	it	PRP	
2645	And	CC	
2646	yet	RB	
2647	there	EX	
2648	was	VBD	
2649	but	CC	
2650	one	CD	
2651	woman	NN	
2652	to	??	TO
2653	him	PRP	
2654	and	CC	
2655	that	??	IN
2656	woman	NN	
2657	was	VBD	
2658	the	DT	
2659	late	JJ	
2660	Irene	NNP	
2661	Adler	NNP	
2662	of	IN	
2663	dubious	JJ	
2664	and	CC	
2665	questionable	JJ	
2666	memory	NN	
2667	I	PRP	
2668	had	VBD	
2669	seen	VBN	
2670	little	??	JJ
2671	of	IN	
2672	Holmes	NNP	
2673	lately	RB	
2674	My	PRP$	
2675	marriage	NN	
2676	had	VBD	
2677	drifted	VBN	
2678	us	PRP	
2679	away	RB	
2680	from	IN	
2681	each	DT	
2682	other	JJ	
2683	My	PRP$	
2684	own	JJ	
2685	complete	JJ	
2686	happiness	NN	
2687	and	CC	
2688	the	DT	
2689	interests	NNS	
2690	which	WDT	
2691	rise	VBP	
2692	up	RP	
2693	around	IN	
2694	the	DT	
2695	man	NN	
2696	who	WP	
2697	first	RB	
2698	finds	VBZ	
2699	himself	PRP	
2700	master	NN	
2701	of	IN	
2702	his	PRP$	
2703	own	JJ	
2704	establishment	NN	
2705	were	VBD	
2706	sufficient	JJ	
2707	to	TO	
2708	absorb	VB	
2709	all	??	DT
2710	my	PRP$	
2711	attention	NN	
2712	while	IN	
2713	Holmes	NNP	
2714	who	WP	
2715	loathed	VBD	
2716	every	DT	
2717	form	NN	
2718	of	IN	
2719	society	NN	
2720	with	IN	
2721	his	PRP$	
2722	whole	JJ	
2723	Bohemian	??	NNP
2724	soul	NN	
2725	remained	VBD	
2726	in	IN	
2727	our	PRP$	
2728	lodgings	NNS	
2729	in	IN	
2730	Baker	NNP	
2731	Street	NNP	
2732	buried	VBN	
2733	among	IN	
2734	his	PRP$	
2735	old	JJ	
2736	books	NNS	
2737	and	CC	
2738	alternating	VBG	
2739	from	IN	
2740	week	NN	
2741	to	??	TO
2742	week	NN	
2743	between	IN	TO
2744	cocaine	NN	
2745	and	CC	
2746	ambition	NN	
2747	the	DT	
2748	drowsiness	NN	
2749	of	IN	
2750	the	DT	
2751	drug	NN	
2752	and	CC	
2753	the	DT	
2754	fierce	JJ	
2755	energy	NN	
2756	of	IN	
2757	his	PRP$	
2758	own	JJ	
2759	keen	JJ	
2760	nature	NN	
2761	He	PRP	
2762	was	VBD	
2763	still	RB	
2764	as	IN	
2765	ever	RB	
2766	deeply	RB	
2767	attracted	VBN	
2768	by	IN	
2769	the	DT	
2770	study	NN	
2771	of	IN	
2772	crime	NN	
2773	and	CC	
2774	occupied	VBD	
2775	his	PRP$	
2776	immense	??	JJ
2777	faculties	NNS	
2778	and	CC	
2779	extraordinary	JJ	
2780	powers	NNS	
2781	of	IN	
2782	observation	NN	
2783	in	IN	
2784	following	VBG	
2785	out	??	IN
2786	those	DT	
2787	clues	NNS	
2788	and	CC	
2789	clearing	VBG	
2790	up	RP	
2791	those	DT	
2792	mysteries	NNS	
2793	which	WDT	
2794	had	VBD	
2795	been	VBN	
2796	abandoned	VBN	
2797	as	IN	
2798	hopeless	JJ	
2799	by	IN	
2800	the	DT	
2801	official	JJ	
2802	police	??	NNS
2803	From	IN	
2804	time	NN	
2805	to	??	
2806	time	NN	
2807	I	PRP	
2808	heard	VBD	
2809	some	DT	
2810	vague	JJ	
